round,match_id,home_team,away_team,score_final_dom,score_final_ext,nb_buts_total,nb_buts_dom,nb_buts_ext,victoire,cycle
21,73349081,Equatorial Guinea,Tanzania,0,2,2,0,2,ext,1
21,73349088,Mozambique,DR Congo,0,0,0,0,0,nul,1
21,73349090,Nigeria,Mali,0,0,0,0,0,nul,1
21,73349086,Senegal,Botswana,2,0,2,2,0,dom,1
21,73349089,South Africa,Zimbabwe,2,1,3,2,1,dom,1
21,73349085,Tunisia,Burkina Faso,5,0,5,5,0,dom,1
21,73349087,Uganda,Ivory Coast,2,0,2,2,0,dom,1
21,73349079,Zambia,Sudan,0,0,0,0,0,nul,1
22,73349095,Angola,Comoros,0,0,0,0,0,nul,1
22,73349097,Benin,Mozambique,0,3,3,0,3,ext,1
22,73349093,Botswana,Tunisia,0,0,0,0,0,nul,1
22,73349091,Burkina Faso,Equatorial Guinea,6,0,6,6,0,dom,1
22,73349099,Gabon,Egypt,0,4,4,0,4,ext,1
22,73349102,Ivory Coast,Zambia,1,0,1,1,0,dom,1
22,73349098,Mali,Algeria,1,0,1,1,0,dom,1
22,73349100,Morocco,Cameroon,2,1,3,2,1,dom,1
22,73349094,South Africa,Uganda,1,0,1,1,0,dom,1
22,73349101,Sudan,Senegal,0,2,2,0,2,ext,1
22,73349096,Tanzania,DR Congo,0,0,0,0,0,nul,1
22,73349092,Zimbabwe,Nigeria,1,1,2,1,1,nul,1
23,73349103,Algeria,Zimbabwe,1,0,1,1,0,dom,1
23,73349112,Benin,Gabon,1,3,4,1,3,ext,1
23,73349106,Cameroon,Mali,1,0,1,1,0,dom,1
23,73349110,Comoros,Morocco,1,0,1,1,0,dom,1
23,73349113,DR Congo,Burkina Faso,0,2,2,0,2,ext,1
23,73349111,Egypt,Angola,2,0,2,2,0,dom,1
23,73349109,Equatorial Guinea,Botswana,0,0,0,0,0,nul,1
23,73349108,Mozambique,Tanzania,0,0,0,0,0,nul,1
23,73349107,Nigeria,Uganda,0,0,0,0,0,nul,1
23,73349114,Senegal,Ivory Coast,1,2,3,1,2,ext,1
23,73349104,Tunisia,Sudan,0,1,1,0,1,ext,1
23,73349105,Zambia,South Africa,2,0,2,2,0,dom,1
24,73349125,Angola,Benin,4,1,5,4,1,dom,1
24,73349124,Botswana,DR Congo,0,0,0,0,0,nul,1
24,73349117,Burkina Faso,Tanzania,1,0,1,1,0,dom,1
24,73349116,Gabon,Mozambique,2,0,2,2,0,dom,1
24,73349119,Ivory Coast,Tunisia,1,0,1,1,0,dom,1
24,73349126,Mali,Comoros,0,1,1,0,1,ext,1
24,73349120,Morocco,Egypt,4,0,4,4,0,dom,1
24,73349121,Nigeria,Zambia,0,0,0,0,0,nul,1
24,73349115,South Africa,Senegal,0,1,1,0,1,ext,1
24,73349123,Sudan,Equatorial Guinea,0,0,0,0,0,nul,1
24,73349118,Uganda,Algeria,0,0,0,0,0,nul,1
24,73349122,Zimbabwe,Cameroon,1,0,1,1,0,dom,1
25,73349128,Algeria,Zambia,3,1,4,3,1,dom,1
25,73349135,Benin,Morocco,0,2,2,0,2,ext,1
25,73349127,Cameroon,Uganda,1,1,2,1,1,nul,1
25,73349134,Comoros,Zimbabwe,1,0,1,1,0,dom,1
25,73349136,DR Congo,Sudan,2,0,2,2,0,dom,1
25,73349137,Egypt,Mali,0,0,0,0,0,nul,1
25,73349129,Equatorial Guinea,Ivory Coast,1,0,1,1,0,dom,1
25,73349133,Gabon,Angola,0,4,4,0,4,ext,1
25,73349131,Mozambique,Burkina Faso,0,0,0,0,0,nul,1
25,73349130,Senegal,Nigeria,0,0,0,0,0,nul,1
25,73349138,Tanzania,Botswana,0,1,1,0,1,ext,1
25,73349132,Tunisia,South Africa,3,1,4,3,1,dom,1
26,73361320,Algeria,DR Congo,1,0,1,1,0,dom,1
26,73361321,Angola,Comoros,1,2,3,1,2,ext,1
26,73361316,Benin,Morocco,1,0,1,1,0,dom,1
26,73361319,Burkina Faso,Cameroon,1,0,1,1,0,dom,1
26,73361327,Egypt,Botswana,5,0,5,5,0,dom,1
26,73361322,Gabon,Tanzania,1,1,2,1,1,nul,1
26,73361317,Mali,Equatorial Guinea,1,0,1,1,0,dom,1
26,73361318,Nigeria,Tunisia,4,0,4,4,0,dom,1
26,73361326,Senegal,South Africa,1,0,1,1,0,dom,1
26,73361325,Sudan,Uganda,1,0,1,1,0,dom,1
26,73361323,Zambia,Mozambique,0,0,0,0,0,nul,1
26,73361324,Zimbabwe,Ivory Coast,0,1,1,0,1,ext,1
27,73349154,Angola,Morocco,0,0,0,0,0,nul,1
27,73349157,Benin,Zimbabwe,1,0,1,1,0,dom,1
27,73349159,Burkina Faso,Sudan,3,0,3,3,0,dom,1
27,73349160,Cameroon,Senegal,3,0,3,3,0,dom,1
27,73349151,Comoros,Zambia,1,0,1,1,0,dom,1
27,73349158,DR Congo,South Africa,0,2,2,0,2,ext,1
27,73349162,Egypt,Uganda,0,0,0,0,0,nul,1
27,73349152,Equatorial Guinea,Nigeria,0,0,0,0,0,nul,1
27,73349161,Gabon,Mali,0,2,2,0,2,ext,1
27,73349155,Mozambique,Botswana,1,2,3,1,2,ext,1
27,73349156,Tanzania,Ivory Coast,0,0,0,0,0,nul,1
27,73349153,Tunisia,Algeria,1,0,1,1,0,dom,1
28,73349171,Algeria,Equatorial Guinea,5,0,5,5,0,dom,1
28,73349169,Cameroon,Tunisia,0,0,0,0,0,nul,1
28,73349166,Ivory Coast,Burkina Faso,4,0,4,4,0,dom,1
28,73349170,Mali,Angola,1,0,1,1,0,dom,1
28,73349163,Morocco,Mozambique,1,1,2,1,1,nul,1
28,73349173,Nigeria,DR Congo,0,0,0,0,0,nul,1
28,73349165,Senegal,Comoros,0,0,0,0,0,nul,1
28,73349164,South Africa,Tanzania,1,2,3,1,2,ext,1
28,73349172,Sudan,Botswana,0,0,0,0,0,nul,1
28,73349168,Uganda,Benin,1,1,2,1,1,nul,1
28,73349167,Zambia,Egypt,0,2,2,0,2,ext,1
28,73349174,Zimbabwe,Gabon,1,0,1,1,0,dom,1
